cable_name,rfs,cable_length,owners,suppliers,submarine_networks_url,submarine_cable_map_url
indonesia-global-gateway-igg-system,2018 May,"5,300 km",Telin -  Telkom Indonesia,NEC,https://www.telin.net/,https://www.submarinecablemap.com/submarine-cable/indonesia-global-gateway-igg-system
ingrid,2004 October,64 km,CIEG,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/ingrid
insica,2026 Q4,100 km,Singtel -  Telin,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/insica
interchange-cable-network-1-icn1,2014 January,"1,259 km",Interchange,ASN,http://www.interchange.vu/,https://www.submarinecablemap.com/submarine-cable/interchange-cable-network-1-icn1
ioema,2027,"1,600 km",IOEMA Fibre,NEC,https://ioemafibre.eu/,https://www.submarinecablemap.com/submarine-cable/ioema
ionian,2023 April,320 km,IslaLink,http://www.islalink.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/ionian
iris,2023 March,"1,770 km",Farice,SubCom,http://www.farice.is/,https://www.submarinecablemap.com/submarine-cable/iris
isle-au-haut-cable,2024 November,10 km,Axiom Technologies,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/isle-au-haut-cable
isles-of-scilly-cable,2014,n.a.,BT,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/isles-of-scilly-cable
israel-coasting-1-ic-1,2000 September,340 km,Partner Communications Company,Prysmian,Not Given,https://www.submarinecablemap.com/submarine-cable/israel-coasting-1-ic-1
italy-albania,1997,240 km,ALBtelecom -  Sparkle,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-albania
italy-croatia,1994,230 km,Hrvatski Telekom -  Sparkle,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-croatia
italy-greece-1-ig-1,1995,169 km,WIS Telecom,http://www.wis.one,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-greece-1-ig-1
italy-libya,1998,570 km,Libya International Telecommunications Company -  Sparkle,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-libya
italy-malta,1995,238 km,GO plc -  Sparkle,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-malta
italy-monaco,1995,162 km,Monaco Telecom -  Sparkle,Prysmian,Not Given,https://www.submarinecablemap.com/submarine-cable/italy-monaco
ixchel,2007 August,20 km,Telmex,ASN,https://telmex.com/,https://www.submarinecablemap.com/submarine-cable/ixchel
izu-islands-cable-system,1996,n.a.,NTT,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/izu-islands-cable-system
jaka2ladema,2010,"1,700 km",Telkom Indonesia,Fujitsu -  NSW,Not Given,https://www.submarinecablemap.com/submarine-cable/jaka2ladema
jakabare,2009 November,"1,330 km",Indosat Ooredoo,NEC,https://indosatooredoo.com/,https://www.submarinecablemap.com/submarine-cable/jakabare
jakarta-bangka-bintan-batam-singapore-b3js,2012 November,"1,031 km",Moratelindo,http://www.moratelindo.co.id,Not Given,https://www.submarinecablemap.com/submarine-cable/jakarta-bangka-bintan-batam-singapore-b3js
jakarta-surabaya-cable-system-jayabaya,2018 December,888 km,Triasmitra,http://www.triasmitra.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/jakarta-surabaya-cable-system-jayabaya
jalapati,2023 Q1,45 km,CCSI,CCSI,https://www.ccsi.co.id/home-id-jalapati/,https://www.submarinecablemap.com/submarine-cable/jalapati
jambi-batam-cable-system-jiba,2014,267 km,Indosat Ooredoo -  Moratelindo -  XL Axiata,http://www.moratelindo.co.id,Not Given,https://www.submarinecablemap.com/submarine-cable/jambi-batam-cable-system-jiba
janna,2005 April,634 km,EXA Infrastructure -  Regione Sardegne -  Tiscali -  WINDTRE (incl. Wind and 3 Italia),NSW,Not Given,https://www.submarinecablemap.com/submarine-cable/janna
japan-guam-australia-north-jga-n,2020 July,"2,600 km",RTI,NEC,http://www.rticable.com/,https://www.submarinecablemap.com/submarine-cable/japan-guam-australia-north-jga-n
japan-guam-australia-south-jga-s,2020 March,"7,081 km",Australia’s Academic and Research Network (AARNET) -  Google -  RTI,ASN,http://www.rticable.com/,https://www.submarinecablemap.com/submarine-cable/japan-guam-australia-south-jga-s
japan-information-highway-jih,1999,"5,150 km",KDDI,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/japan-information-highway-jih
jasuka,2006,n.a.,Telkom Indonesia,NEC,https://www.telkom.co.id/,https://www.submarinecablemap.com/submarine-cable/jasuka
java-bali-cable-system-jbcs,2013,n.a.,Triasmitra,http://www.triasmitra.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/java-bali-cable-system-jbcs
java-kalimantan-sulawesi-jakasusi,2006,"1,100 km",Indosat Ooredoo,ASN,https://indosatooredoo.com/,https://www.submarinecablemap.com/submarine-cable/java-kalimantan-sulawesi-jakasusi
javali,2011 December,n.a.,Indosat Ooredoo,NSW,Not Given,https://www.submarinecablemap.com/submarine-cable/javali
jeju-mainland-2,1996,191 km,KT,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/jeju-mainland-2
jeju-mainland-3,2000,236 km,KT,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/jeju-mainland-3
jeju-udo,2023 December,3 km,KCTV Jeju Broadcasting -  KT -  LG Uplus -  SK Telecom (SKT),Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/jeju-udo
jerry-newton,2007 October,n.a.,Liberty Latin America (LLA),https://libertynet.com/contact,Not Given,https://www.submarinecablemap.com/submarine-cable/jerry-newton
jonah,2012 January,"2,297 km",Bezeq International Ltd.,ASN,https://www.bezeqint.net/,https://www.submarinecablemap.com/submarine-cable/jonah
jscfs,1997,n.a.,Liberty Latin America (LLA),https://libertynet.com/contact,Not Given,https://www.submarinecablemap.com/submarine-cable/jscfs
junior,2018 Q3,390 km,Google,Padtec,https://cloud.google.com/,https://www.submarinecablemap.com/submarine-cable/junior
juno,2025 March,"11,710 km",Seren Juno Network Co. -  Ltd.,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/juno
jupiter,2020,"14,557 km",Amazon Web Services -  Meta -  NTT -  PCCW -  PLDT -  Softbank Corp,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/jupiter
kafos,1997 June,538 km,Turk Telekom International,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/kafos
kanawa,2019 January,"1,746 km",Orange,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/kanawa
kangaroo-island-2,2024 July,n.a.,SA Power Networks,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/kangaroo-island-2
kattegat-2,2001,75 km,TDC Group,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/kattegat-2
kerch-strait-cable,2014 April,46 km,Miranda Media,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/kerch-strait-cable
ketchcan1-submarine-fiber-cable-system,2020 November,167 km,Ketchican Public Utilities,https://www.kputel.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/ketchcan1-submarine-fiber-cable-system
kingisepp-kaliningrad-system-baltika,2021,"1,115 km",Rostelecom,https://www.company.rt.ru/en/,Not Given,https://www.submarinecablemap.com/submarine-cable/kingisepp-kaliningrad-system-baltika
kitadaito-island,2022,410 km,Okinawa Prefecture,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/kitadaito-island
kochi-lakshadweep-islands-kli-sofc,2024 January,"1,989 km",Bharat Sanchar Nigam Ltd. (BSNL),NEC,http://www.bsnl.co.in/,https://www.submarinecablemap.com/submarine-cable/kochi-lakshadweep-islands-kli-sofc
kodiak-kenai-fiber-link-kkfl,2007 January,966 km,GCI Communication Corp,ASN,https://www.gci.com/,https://www.submarinecablemap.com/submarine-cable/kodiak-kenai-fiber-link-kkfl
konstanz-friedrichshafen,2007,26 km,Stadtwerke Konstanz,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/konstanz-friedrichshafen
konstanz-meersburg,2010 Q4,5 km,Stadtwerke Konstanz,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/konstanz-meersburg
korea-japan-cable-network-kjcn,2002 March,500 km,KT -  NTT -  QTNet -  Softbank Corp,ASN -  Fujitsu,Not Given,https://www.submarinecablemap.com/submarine-cable/korea-japan-cable-network-kjcn
kumul-domestic-submarine-cable-system,2019 February,"5,457 km",PNG DataCo Limited,HMN Tech,https://www.pngdataco.com/,https://www.submarinecablemap.com/submarine-cable/kumul-domestic-submarine-cable-system
kupang-alor-cable-systems,2019,273 km,Moratelindo,http://moratelindo.co.id,Not Given,https://www.submarinecablemap.com/submarine-cable/kupang-alor-cable-systems
kuwait-iran,2005 June,380 km,Kuwait Ministry of Communications -  Telecommunication Infrastructure Company of Iran,Prysmian,Not Given,https://www.submarinecablemap.com/submarine-cable/kuwait-iran
la-gomera-el-hierro,n.a.,n.a.,Telefonica,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/la-gomera-el-hierro
labuan-brunei-submarine-cable,2017 April,52 km,Common Tower Technologies Sdn Bhd,http://www.cttsb.com.my,Not Given,https://www.submarinecablemap.com/submarine-cable/labuan-brunei-submarine-cable
lake-albert-1,2019,51 km,Bandwidth and Cloud Services (BCS),https://www.bcs-ea.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/lake-albert-1
